央视,#genre#
CCTV1综合,http://php.tech-miao.top/01央视主线路.php?id=cctv-1
CCTV2财经,http://php.tech-miao.top/01央视主线路.php?id=cctv-2
CCTV3综艺,http://php.tech-miao.top/01央视主线路.php?id=cctv-3
CCTV4国际,http://php.tech-miao.top/01央视主线路.php?id=cctv-4
CCTV5体育,http://php.tech-miao.top/01央视主线路.php?id=cctv-5
CCTV6电影,http://php.tech-miao.top/01央视主线路.php?id=cctv-6
CCTV7国防军事,http://php.tech-miao.top/01央视主线路.php?id=cctv-7
CCTV8电视剧,http://php.tech-miao.top/01央视主线路.php?id=cctv-8
CCTV9纪录,http://php.tech-miao.top/01央视主线路.php?id=cctv-9
CCTV10科教,http://php.tech-miao.top/01央视主线路.php?id=cctv-10
CCTV11戏曲,http://php.tech-miao.top/01央视主线路.php?id=cctv-11
CCTV12社会与法,http://php.tech-miao.top/01央视主线路.php?id=cctv-12
CCTV13新闻,http://php.tech-miao.top/01央视主线路.php?id=cctv-13
CCTV14少儿,http://php.tech-miao.top/01央视主线路.php?id=cctv-14
CCTV15音乐,http://php.tech-miao.top/01央视主线路.php?id=cctv-15
CCTV16奥林匹克,http://php.tech-miao.top/01央视主线路.php?id=cctv-16
CCTV17农业农村,http://php.tech-miao.top/01央视主线路.php?id=cctv-17
CCTV5+,http://php.tech-miao.top/01央视主线路.php?id=cctv-5plus
CGTN,http://php.tech-miao.top/01央视主线路.php?id=cctv-cgtn
CGTN纪录,http://php.tech-miao.top/01央视主线路.php?id=cctv-cgtndoc
CCTV风云足球,http://php.tech-miao.top/01央视主线路.php?id=cctv-fengyunzq
CCTV风云音乐,http://php.tech-miao.top/01央视主线路.php?id=cctv-fengyunyy
CCTV风云剧场,http://php.tech-miao.top/01央视主线路.php?id=cctv-fengyunjc
CCTV第一剧场,http://php.tech-miao.top/01央视主线路.php?id=cctv-diyijc
CCTV怀旧剧场,http://php.tech-miao.top/01央视主线路.php?id=cctv-huaijiujc
CCTV世界地理,http://php.tech-miao.top/01央视主线路.php?id=cctv-shijiedili
CCTV兵器科技,http://php.tech-miao.top/01央视主线路.php?id=cctv-bingqikeji
CCTV央视台球,http://php.tech-miao.top/01央视主线路.php?id=cctv-yangshitq
CCTV高尔夫网球,http://php.tech-miao.top/01央视主线路.php?id=cctv-golftennis
CCTV女性时尚,http://php.tech-miao.top/01央视主线路.php?id=cctv-nvxingss
CCTV央视文化精品,http://php.tech-miao.top/01央视主线路.php?id=cctv-wenhuajp
央视（备）,#genre#
CCTV1综合（备）,http://php.tech-miao.top/02央视备用线路.php?id=cctv-1-bak
CCTV2财经（备）,http://php.tech-miao.top/02央视备用线路.php?id=cctv-2-bak
CCTV3综艺（备）,http://php.tech-miao.top/02央视备用线路.php?id=cctv-3-bak
CCTV4国际（备）,http://php.tech-miao.top/02央视备用线路.php?id=cctv-4-bak
CCTV5体育（备）,http://php.tech-miao.top/02央视备用线路.php?id=cctv-5-bak
CCTV6电影（备）,http://php.tech-miao.top/02央视备用线路.php?id=cctv-6-bak
CCTV7国防军事（备）,http://php.tech-miao.top/02央视备用线路.php?id=cctv-7-bak
CCTV8电视剧（备）,http://php.tech-miao.top/02央视备用线路.php?id=cctv-8-bak
CCTV9纪录（备）,http://php.tech-miao.top/02央视备用线路.php?id=cctv-9-bak
CCTV10科教（备）,http://php.tech-miao.top/02央视备用线路.php?id=cctv-10-bak
CCTV11戏曲（备）,http://php.tech-miao.top/02央视备用线路.php?id=cctv-11-bak
CCTV12社会与法（备）,http://php.tech-miao.top/02央视备用线路.php?id=cctv-12-bak
CCTV13新闻（备）,http://php.tech-miao.top/02央视备用线路.php?id=cctv-13-bak
CCTV14少儿（备）,http://php.tech-miao.top/02央视备用线路.php?id=cctv-14-bak
CCTV15音乐（备）,http://php.tech-miao.top/02央视备用线路.php?id=cctv-15-bak
CCTV16奥林匹克（备）,http://php.tech-miao.top/02央视备用线路.php?id=cctv-16-bak
CCTV17农业农村（备）,http://php.tech-miao.top/02央视备用线路.php?id=cctv-17-bak
CCTV5+（备）,http://php.tech-miao.top/02央视备用线路.php?id=cctv-5plus-bak
CGTN（备）,http://php.tech-miao.top/02央视备用线路.php?id=cctv-cgtn-bak
CGTN纪录（备）,http://php.tech-miao.top/02央视备用线路.php?id=cctv-cgtndoc-bak
CCTV风云足球（备）,http://php.tech-miao.top/02央视备用线路.php?id=cctv-fengyunzq-bak
CCTV风云音乐（备）,http://php.tech-miao.top/02央视备用线路.php?id=cctv-fengyunyy-bak
CCTV风云剧场（备）,http://php.tech-miao.top/02央视备用线路.php?id=cctv-fengyunjc-bak
CCTV第一剧场（备）,http://php.tech-miao.top/02央视备用线路.php?id=cctv-diyijc-bak
CCTV怀旧剧场（备）,http://php.tech-miao.top/02央视备用线路.php?id=cctv-huaijiujc-bak
CCTV世界地理（备）,http://php.tech-miao.top/02央视备用线路.php?id=cctv-shijiedili-bak
CCTV兵器科技（备）,http://php.tech-miao.top/02央视备用线路.php?id=cctv-bingqikeji-bak
CCTV央视台球（备）,http://php.tech-miao.top/02央视备用线路.php?id=cctv-yangshitq-bak
CCTV高尔夫网球（备）,http://php.tech-miao.top/02央视备用线路.php?id=cctv-golftennis-bak
CCTV女性时尚（备）,http://php.tech-miao.top/02央视备用线路.php?id=cctv-nvxingss-bak
CCTV央视文化精品（备）,http://php.tech-miao.top/02央视备用线路.php?id=cctv-wenhuajp-bak
卫视,#genre#
北京卫视,http://php.tech-miao.top/03卫视主线路.php?id=beijing
东方卫视,http://php.tech-miao.top/03卫视主线路.php?id=dongfang
广东卫视,http://php.tech-miao.top/03卫视主线路.php?id=guangdong
深圳卫视,http://php.tech-miao.top/03卫视主线路.php?id=shenzhen
江苏卫视,http://php.tech-miao.top/03卫视主线路.php?id=jiangsu
浙江卫视,http://php.tech-miao.top/03卫视主线路.php?id=zhejiang
安徽卫视,http://php.tech-miao.top/03卫视主线路.php?id=anhui
天津卫视,http://php.tech-miao.top/03卫视主线路.php?id=tianjin
重庆卫视,http://php.tech-miao.top/03卫视主线路.php?id=chongqing
湖南卫视,http://php.tech-miao.top/03卫视主线路.php?id=hunan
湖北卫视,http://php.tech-miao.top/03卫视主线路.php?id=hubei
河南卫视,http://php.tech-miao.top/03卫视主线路.php?id=henan
河北卫视,http://php.tech-miao.top/03卫视主线路.php?id=hebei
山东卫视,http://php.tech-miao.top/03卫视主线路.php?id=shandong
山西卫视,http://php.tech-miao.top/03卫视主线路.php?id=shanxi
陕西卫视,http://php.tech-miao.top/03卫视主线路.php?id=shaanxi
辽宁卫视,http://php.tech-miao.top/03卫视主线路.php?id=liaoning
吉林卫视,http://php.tech-miao.top/03卫视主线路.php?id=jilin
黑龙江卫视,http://php.tech-miao.top/03卫视主线路.php?id=heilongjiang
四川卫视,http://php.tech-miao.top/03卫视主线路.php?id=sichuan
贵州卫视,http://php.tech-miao.top/03卫视主线路.php?id=guizhou
广西卫视,http://php.tech-miao.top/03卫视主线路.php?id=guangxi
云南卫视,http://php.tech-miao.top/03卫视主线路.php?id=yunnan
甘肃卫视,http://php.tech-miao.top/03卫视主线路.php?id=gansu
宁夏卫视,http://php.tech-miao.top/03卫视主线路.php?id=ningxia
内蒙古卫视,http://php.tech-miao.top/03卫视主线路.php?id=neimenggu
青海卫视,http://php.tech-miao.top/03卫视主线路.php?id=qinghai
西藏卫视,http://php.tech-miao.top/03卫视主线路.php?id=xizang
新疆卫视,http://php.tech-miao.top/03卫视主线路.php?id=xinjiang
兵团卫视,http://php.tech-miao.top/03卫视主线路.php?id=bingtuan
东南卫视,http://php.tech-miao.top/03卫视主线路.php?id=dongnan
江西卫视,http://php.tech-miao.top/03卫视主线路.php?id=jiangxi
海南卫视,http://php.tech-miao.top/03卫视主线路.php?id=hainan
三沙卫视,http://php.tech-miao.top/03卫视主线路.php?id=sansha
中国教育1,http://php.tech-miao.top/03卫视主线路.php?id=jiaoyu1
中国教育2,http://php.tech-miao.top/03卫视主线路.php?id=jiaoyu2
中国教育3,http://php.tech-miao.top/03卫视主线路.php?id=jiaoyu3
